epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0967,2.20468,3.42806,1.60558,0.60617,0.22376,0.30157,0.11993,2.0838,2.59098,1.49109,0.00032963,0.00032963,0.00032963
2,22.8022,2.0208,2.0729,1.46234,0.55077,0.5513,0.53451,0.22419,1.96513,1.75299,1.53196,0.00059733,0.00059733,0.00059733
3,33.5026,1.92943,1.76863,1.4514,0.80672,0.63489,0.80732,0.41002,1.96829,1.63786,1.53737,0.00079903,0.00079903,0.00079903
4,44.143,1.87539,1.64637,1.42568,0.8002,0.679,0.74161,0.37152,1.87676,1.48813,1.50404,0.000703,0.000703,0.000703
5,54.7764,1.8179,1.53694,1.41293,0.80431,0.75324,0.8202,0.44659,1.88584,1.4108,1.46298,0.000604,0.000604,0.000604
6,65.6218,1.80855,1.43567,1.38858,0.82253,0.8023,0.85791,0.51619,1.84448,1.34692,1.44295,0.000505,0.000505,0.000505
7,76.3222,1.76381,1.37149,1.36646,0.81673,0.82056,0.89292,0.49949,1.80784,1.32902,1.44236,0.000406,0.000406,0.000406
8,86.9957,1.72124,1.31135,1.35482,0.8673,0.83893,0.91357,0.51974,1.79672,1.24661,1.42866,0.000307,0.000307,0.000307
9,97.7501,1.68955,1.278,1.31974,0.83505,0.85029,0.90455,0.50401,1.7771,1.23394,1.41374,0.000208,0.000208,0.000208
10,108.423,1.67843,1.25897,1.32754,0.87364,0.863,0.91851,0.50475,1.77614,1.19054,1.4127,0.000109,0.000109,0.000109
